"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","test_invalid_login_shows_error[chromium-missing-password]","tests","Wed Aug 19 17:25:16 UTC 2026","passed","Wed Aug 19 17:25:16 UTC 2026","","test_login","",""
"saucedemo injects a multi-second delay for this user: login works, but visibly slow.","5166","test_performance_glitch_user_can_login_but_slowly[chromium]","tests","Wed Aug 19 17:25:10 UTC 2026","passed","Wed Aug 19 17:25:15 UTC 2026","","test_login","",""
"","91","test_invalid_login_shows_error[chromium-invalid-credentials]","tests","Wed Aug 19 17:25:17 UTC 2026","passed","Wed Aug 19 17:25:17 UTC 2026","","test_login","",""
"","277","test_full_checkout_flow[chromium]","tests","Wed Aug 19 17:25:07 UTC 2026","passed","Wed Aug 19 17:25:07 UTC 2026","","test_cart","",""
"","91","test_locked_user_cannot_login[chromium]","tests","Wed Aug 19 17:25:15 UTC 2026","passed","Wed Aug 19 17:25:15 UTC 2026","","test_login","",""
"","48","test_sort_prices_low_to_high[chromium]","tests","Wed Aug 19 17:25:08 UTC 2026","passed","Wed Aug 19 17:25:08 UTC 2026","","test_inventory","",""
"","28","test_six_products_displayed[chromium]","tests","Wed Aug 19 17:25:08 UTC 2026","passed","Wed Aug 19 17:25:08 UTC 2026","","test_inventory","",""
"","141","test_successful_login_redirects_to_inventory[chromium]","tests","Wed Aug 19 17:25:09 UTC 2026","passed","Wed Aug 19 17:25:10 UTC 2026","","test_login","",""
"","104","test_item_appears_in_cart[chromium]","tests","Wed Aug 19 17:25:06 UTC 2026","passed","Wed Aug 19 17:25:06 UTC 2026","","test_cart","",""
"","42","test_sort_prices_high_to_low[chromium]","tests","Wed Aug 19 17:25:09 UTC 2026","passed","Wed Aug 19 17:25:09 UTC 2026","","test_inventory","",""
"","107","test_invalid_login_shows_error[chromium-empty-credentials]","tests","Wed Aug 19 17:25:16 UTC 2026","passed","Wed Aug 19 17:25:16 UTC 2026","","test_login","",""
"","60","test_add_to_cart_updates_badge[chromium]","tests","Wed Aug 19 17:25:09 UTC 2026","passed","Wed Aug 19 17:25:09 UTC 2026","","test_inventory","",""
